Image name,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness
00069.jpg,66.88,60.5,66.38,66.88,72.25,65.25
00070.jpg,56,58.14,61,62.14,58.43,54.57
00071.jpg,46.22,48.11,63.5,50.63,53.11,38.89
00072.jpg,21.88,40.56,51.5,29.38,37.44,13.78
00073.jpg,34.4,42.6,53.22,41.33,47.11,43.4
00074.jpg,38.43,49.5,54.14,49.57,51.86,25.38
00075.jpg,39.88,67.14,64,48.57,50.5,33.5
00076.jpg,28.38,57.38,63.43,53.14,44.75,24.38
00077.jpg,49.88,43,64.29,50.14,61.75,50.63
00078.jpg,67.14,66.43,70,72,68.13,66.25
00079.jpg,26.63,48.25,59.71,47.29,39.88,17.38
00080.jpg,41.88,58.14,64.14,48.29,46.88,34
00081.jpg,7.43,37.5,39,18.83,33.88,4.38
00082.jpg,73.38,61.5,76.29,79.86,68.5,77.71
00083.jpg,61.71,69,75.83,67.83,63.71,56
00084.jpg,46.71,50.63,62,51.57,52.25,46.14
00085.jpg,16.57,29,35.67,35.67,39,8.14
00086.jpg,32.86,29.86,42.5,40.67,36.29,22.71
00087.jpg,56.57,61.17,63.17,51.67,51.43,71.5
00088.jpg,75.86,74.14,78.17,79.33,67.71,83.83
00089.jpg,73.88,65.75,73.29,63.71,73.57,69.75
00090.jpg,54.71,54.14,75.33,68.67,61,60.71
00091.jpg,78.86,79.71,79,83.17,78.43,78.57
00092.jpg,49.86,54.43,59.33,56.33,53.14,43.71
00093.jpg,34.29,62.29,65.5,59.33,58.14,30.57
00094.jpg,34,49.86,57.17,48.33,63.33,20.14
00095.jpg,47.86,54.14,67,53,55,45.29
00096.jpg,34.9,40.2,54.33,51,50.22,30.5
00097.jpg,58.38,58.75,67.86,59.43,67,57.88
00098.jpg,49.14,58.29,68.5,60.17,61.14,45.86
00099.jpg,41.14,54,64.33,58.67,54.29,29.71
00100.jpg,50.63,44.38,61.57,55.57,62.25,47
00101.jpg,16,27.86,29.83,29.5,33.43,11.57
00102.jpg,35.29,31.86,43.83,39.5,36,25.86
00103.jpg,42.5,27.75,51,51,49.38,35
00104.jpg,58.88,60.88,64.29,62,65.5,65.5
00105.jpg,47.88,49.25,59.57,56.71,55.14,55.75
00106.jpg,68.86,75.14,71.67,76.33,70.71,61.29
00107.jpg,38.88,51.13,55.29,52,32.75,26.88
00108.jpg,64,68.78,63.5,59.88,65.22,64.78
00109.jpg,60.13,59.5,69.38,61.25,46.11,54.63
00110.jpg,37.14,57.33,57.5,54.17,37.29,43.86
00111.jpg,43.57,51.71,57.5,48.17,44.71,35.29
00112.jpg,27.88,56.13,47.14,60.57,44,15.71
00113.jpg,20.5,51.38,41.71,46,34.63,14.88
00114.jpg,14.57,47.43,41.83,40.5,26.29,6.43
00115.jpg,78.14,68.86,80,79.67,77,81.67
00116.jpg,54.63,60.88,66.43,61.86,72.29,58.63
00117.jpg,75.43,72.14,75.83,72.83,79.71,73.29
00118.jpg,39.86,26.86,48.67,34.33,58.29,48.43
00119.jpg,53.63,57.13,68.57,56.86,63.25,49.13
00120.jpg,51.29,46.29,58,43.83,58.86,48.71
00121.jpg,64.57,63.43,77.17,67.67,80.67,65.71
00122.jpg,38.57,46.14,62.17,46,54.29,44.57
00123.jpg,26.57,53.71,53.67,47.33,49.43,17.14
00124.jpg,67.14,38.25,69,59.29,65.38,68.88
00125.jpg,43,53.43,59.67,58.5,64.33,38.43
00126.jpg,82.14,78.5,82.86,78.14,75.86,77.88
00127.jpg,77.38,75,76.57,70.43,75,70.38
00128.jpg,74,73.71,71.83,76.33,77,69.43
00129.jpg,44,42.57,57.17,48.33,65,33.29
00130.jpg,12.83,52,42.67,40.67,41.29,12.71
00131.jpg,42.44,46.22,58.13,52.88,48.33,33.56
00132.jpg,56.89,55.22,69,59.38,60.56,57.56
00133.jpg,71.89,65.22,76.38,70.25,73.78,68.67
00134.jpg,53,69.27,68.4,65.8,57.91,39.91
00135.jpg,77.56,79.67,83.75,82,74.56,77.56
00136.jpg,21.75,70.75,65.75,49.75,38.44,11.22
00137.jpg,52.7,51.2,52.67,49.89,56.9,49.6
00138.jpg,20,22,28.67,28.33,53.2,38.4
00139.jpg,52.78,60.67,68.5,62,52.89,37.33
00140.jpg,22,29.33,32.63,28.38,42.78,20
00141.jpg,30.8,51.67,44.78,44.9,29.9,13.78
00142.jpg,15.6,34.8,28,33.4,13.78,12
00143.jpg,75.3,73.8,74.9,71.7,69.6,74.5
00144.jpg,29.2,47.2,49.6,45.4,27.1,18.5
00145.jpg,40.67,28.13,25.78,32.33,49.67,36.33
00146.jpg,34,34.88,41.78,33.56,14.56,22.89
00147.jpg,37.8,57.2,55.3,51.5,22.67,19.1
00148.jpg,80.44,75.22,76.56,74,71.67,78.78
00149.jpg,68.89,74.75,66.33,74.63,62.56,66.63
00150.jpg,79,69.33,78.11,77.44,77.44,73.22
00151.jpg,42.22,56,55.67,57.56,37.56,24.22
00152.jpg,21.7,28.64,49.7,33.8,30.91,13.36
00153.jpg,81.89,73.67,79.89,78.5,76.75,77
00154.jpg,91.38,85.75,82.78,78,79.11,82.44
00155.jpg,44.63,49,50.33,49.67,35,28.44
00156.jpg,34,28.11,49,37.11,25.22,25.22
00157.jpg,79.89,75.89,83,77.78,77.67,80.33
00158.jpg,49.7,40,51,43.1,43.5,29.22
00159.jpg,71.67,61.56,65.44,62.56,74.56,73.67
00160.jpg,46.8,44.6,44.8,46.9,30.78,28.22
00161.jpg,37.18,45.55,47.1,40.8,28,27.73
00162.jpg,31.18,36.09,39.18,34.18,29,18.45
00163.jpg,80.56,77.22,83.11,76.22,75.22,81.44
00164.jpg,45.11,37.11,47.44,39.67,45.44,41.56
00165.jpg,79.89,73,80.5,75,76,78
00166.jpg,25.82,20.27,23.82,29.09,34.82,31.27
00167.jpg,32.75,41.83,49.5,47.6,31.67,23.42
00168.jpg,73.7,70,70.4,70.6,73.1,76.11
00169.jpg,77.78,63.78,66.44,64.56,73.89,78
00170.jpg,73.11,62,67.22,64.67,66.67,68.67
00171.jpg,62.5,42.89,55.5,48.7,59.8,60.6
00172.jpg,62.6,50.5,67.56,59.7,60.5,64.2
00173.jpg,35.11,33.11,48.22,40.44,29.22,26
00174.jpg,79,75.67,80,78.67,78.33,79.56
00175.jpg,23,14.7,28.82,15.09,28.27,28.45
00176.jpg,78.91,77.27,75.82,72.17,74.17,77.36
00177.jpg,79.2,78,77.6,75.5,83.3,75.1
00178.jpg,53.67,63.7,63.11,55,39.5,35.3
00179.jpg,71.33,72.17,73.08,70.55,74.82,70.75
00180.jpg,75.2,73.3,74.8,73.78,73,76.56
00181.jpg,43.56,54.2,51.2,50.5,32.4,30.4
00182.jpg,80.5,71.9,77.82,70.18,76,76.55
00183.jpg,59.4,70.1,74.89,68.4,56.8,46.89
00184.jpg,54.4,45.1,57,49.4,55.7,54.5
00185.jpg,64.89,59.89,68.78,58.89,63.22,57.56
00186.jpg,64.25,57.42,63.25,60.42,62.73,62.42
00187.jpg,26.6,13.67,25.8,20,20.89,28.3
00188.jpg,67.7,59.7,69.6,63.33,63,67.1
00189.jpg,44.2,47.7,48.7,47.3,41.4,31.5
00190.jpg,57.44,48.7,65.33,54.67,52.6,46.6
00191.jpg,33.38,52.22,53.67,54.11,34.56,26.11
00192.jpg,60.78,61.33,63.88,66.5,64.33,63.22
00193.jpg,37.11,37,42.11,37.67,27.78,30.56
00194.jpg,62,51.25,66.5,55.38,54.71,65.63
00195.jpg,41.5,47.38,50.13,44.5,41,33.13
00196.jpg,10.88,25.5,30.5,24.38,27.38,13.38
00197.jpg,39.33,39.22,50,42.44,39.33,29.67
00198.jpg,42.25,42.75,49.13,48.88,42.88,39.38
00199.jpg,51,48.5,51.75,54.13,50,44
00200.jpg,75.38,69.38,76,68.63,76.14,76.75
00201.jpg,34.5,32.25,38.13,30.63,34.63,28.88
00202.jpg,64.75,61.86,57.25,50,67.57,66.13
00203.jpg,76.44,73.11,75.44,73.25,76.13,78.88
00204.jpg,78.38,65.44,77,71.38,71.67,76.33
00205.jpg,34.63,43,48.5,40.13,30,22.88
00206.jpg,12.75,13.29,26.88,14.75,22.38,11.63
00207.jpg,57.56,53.25,57.11,51.33,53.22,66.63
00208.jpg,46.86,39.14,41,40,47.57,48.14
00209.jpg,34.29,29.14,37.71,35,28.71,22.14
00210.jpg,85.5,78.17,78.71,78.71,75,73.57
00211.jpg,46.92,49.36,52.36,50.91,41.5,35.82
00212.jpg,34.42,59.7,61.5,50.33,48.75,18.45
00213.jpg,20.18,15.82,34.92,30,50.82,38.25
00214.jpg,18.38,50.75,44.31,40.62,37.77,11.92
00215.jpg,13.83,9.91,27.67,16.55,18.36,17.42
00216.jpg,73.23,73.92,76.77,72.08,70,70.31
00217.jpg,21.62,21.91,46.15,24.69,44.23,16.08
00218.jpg,48,45.45,65.83,48.25,65.64,69.83
00219.jpg,61.42,64.9,66,63.92,64.73,64.42
00220.jpg,14.64,43.64,33.82,30,32.67,7.18
00221.jpg,78.5,76.45,80.64,72.18,73.58,81
00222.jpg,58.08,63.17,58.08,62.08,60.25,57.25
00223.jpg,50.83,33.5,44.08,43.38,50.85,54.92
00224.jpg,19.08,43.36,45.92,38.25,37.42,8.82
00225.jpg,27.17,21.91,45.31,35,49.15,39.23
00226.jpg,35.46,31.83,39.23,26.33,48,37.85
00227.jpg,82.31,84.83,82.77,77.85,72.54,81.58
00228.jpg,73.83,72.67,75.85,72.69,68.38,73
00229.jpg,11.54,48.15,30,36.71,37.93,8.46
00230.jpg,48,40.58,49.29,52.57,51.57,49.5
00231.jpg,62.43,51.23,56.86,53,66.85,66.64
00232.jpg,53.08,51.33,53.08,46,51.15,43.85
00233.jpg,71.06,76.69,74.93,72.19,67.6,69.5
00234.jpg,74.85,73.17,74.08,74.38,61.14,69.36
00235.jpg,18.53,42.38,40,34.93,35.29,9.79
00236.jpg,47.67,66,63.38,60.57,46.57,37.67
00237.jpg,20.92,30.58,50.23,37.46,37.77,10.92
00238.jpg,17,43.38,45.07,38.43,33.93,11.36
00239.jpg,53.75,49,55.5,56.15,57.08,62.33
00240.jpg,48,43.77,52.07,47.71,45.93,50.57
00241.jpg,43,51.67,55.15,51.08,54.31,33.77
00242.jpg,30.14,54.64,48.33,47.33,46.73,18.14
00243.jpg,38.77,35.36,43.31,29.08,50.77,47.46
00244.jpg,26,47.75,45.85,37.85,40.62,15.67
00245.jpg,25.83,38.33,49.92,39.69,42,19.25
00246.jpg,75.62,75.42,78.77,75.54,67.86,77.57
00247.jpg,32.23,57.25,56.54,59.58,49.69,12.75
00248.jpg,33.77,30.08,48.31,42.77,48.62,30.69
00249.jpg,24.77,30.55,41.85,34.77,35.77,21.46
00250.jpg,9.15,27.08,25.43,27,33.29,8
00251.jpg,72.79,66.31,73.21,72.79,74.92,76.5
00252.jpg,44.54,50.58,66.58,48.23,51.92,52.42
00253.jpg,32.77,55.25,53.31,55.25,43.15,16.85
00254.jpg,42.15,48.75,58.46,50.69,54.92,28.31
00255.jpg,57.92,66.67,68.25,62.92,62.62,52.92
00256.jpg,26.54,17.91,25.38,23.92,53.43,31.31
00257.jpg,22.08,20.25,33.83,21.75,32.25,18.69
00258.jpg,57,49.45,58.85,55.08,67,66
00259.jpg,52.33,54,58.25,47,53.75,36.33
00260.jpg,70.09,62.45,60.17,66.27,71.64,73
00261.jpg,30.21,54.38,50.21,49.36,44.64,17.14
00262.jpg,67.85,71.08,78.92,68.77,73.08,72
00263.jpg,46.58,35.45,44.92,41.75,55.17,44
00264.jpg,70.36,70.46,71.85,70,72.64,74.57
00265.jpg,36.85,51.5,55.77,49.54,52.85,29.15
00266.jpg,63.83,72.09,71.64,62.17,71.73,77.45
00267.jpg,67.15,74.5,68.31,68.85,67.85,65.23
00268.jpg,24.75,56,49.23,55.5,51.31,16.38
00269.jpg,16.31,30,41.62,33.77,43.92,16.08
00270.jpg,69.58,72.09,76.73,67.58,70.42,75
00271.jpg,66.92,67,69.33,68.62,65.38,72.85
00272.jpg,17.09,40.2,34.92,40.18,42.42,14
00273.jpg,75.38,76.17,78.58,76.54,76.31,78.38
00274.jpg,59.62,56.64,59.77,55.33,58.38,64.69
00275.jpg,62.25,62.18,60.67,56.09,67.33,66.91
00276.jpg,73.08,69.25,80.92,74.69,76.75,75.92
00277.jpg,69.07,62.23,73.36,69,80.17,75.57
00278.jpg,20.75,52.18,48.08,42.83,52.42,13.25
00279.jpg,85.08,82.91,83.92,86.09,79.17,81.42
00280.jpg,40.46,59.46,61.33,57.46,57,30.15
00281.jpg,81.18,77.91,78.55,78.45,74.09,76.73
00282.jpg,75.13,74.67,75.11,74.33,67.89,69.67
00283.jpg,65.5,59.1,58.8,59.7,47.7,54.7
00284.jpg,27.09,48,47.55,45.7,32.64,16.82
00285.jpg,63.6,64.3,71.8,67.5,66.3,67.78
00286.jpg,65.56,53.11,76,71,71.67,70.78
00287.jpg,48.2,31.2,53.2,48.9,55.9,53.1
00288.jpg,74.2,68.3,76,71.3,70.9,75.1
00289.jpg,45.3,35.9,54.2,53.1,34.4,37
00290.jpg,20.67,43.33,41.78,42.44,31.56,12.56
00291.jpg,21.2,38.6,52.4,41.1,37.9,12.1
00292.jpg,27.78,24.89,40.11,31.11,27.22,32.56
00293.jpg,58.75,64.38,60,59.89,49.44,62.78
00294.jpg,55.78,46.89,54.67,60.63,47.22,61.11
00295.jpg,73.89,71.3,70.33,72.1,69.67,76.8
00296.jpg,65.8,64.56,66.2,68.9,63.9,60.9
00297.jpg,34.64,59.7,58.82,62.7,41.64,22.73
00298.jpg,68.9,61.91,73.9,67.91,65.91,69.82
00299.jpg,46.45,54.9,53.9,56.18,49.45,46
00300.jpg,67.5,68.27,59.45,66.18,67.91,68.45
00301.jpg,58.9,70.3,66.5,65.8,60.9,53.5
00302.jpg,34.64,45.91,51.45,53.27,43.82,16.3
00303.jpg,7.4,6.7,9.11,11.4,18.8,8.67
00304.jpg,60.9,62.78,56.44,63.11,60.5,68
00305.jpg,68.7,63.1,66.22,74.78,68.8,77.56
00306.jpg,38.09,44.18,51.55,53.45,49,25.8
00307.jpg,22.33,19.36,28.83,34.17,35.42,20.75
00308.jpg,60.17,57.45,57.5,58.5,51.58,66.82
00309.jpg,42.82,31.09,45.91,39.27,48,54.73
00310.jpg,62.8,53.45,63.2,57.09,60.64,63.18
00311.jpg,58.38,64.46,63,67.23,39,59.31
00312.jpg,16.83,18.67,16.64,19.33,26,16.75
00313.jpg,54.55,57.73,55.18,59.64,43.36,54
00314.jpg,25.45,15.73,23.64,26.18,46.18,28.55
00315.jpg,19.09,31.27,39.09,33.09,23.18,12.3
00316.jpg,36.2,57.56,52.4,50.4,36.6,17.56
00317.jpg,37.83,37.33,36,41.83,32.92,37.42
00318.jpg,40,59.4,48,47.3,27,30.9
00319.jpg,28.18,49.36,52.91,46.27,29.09,17.45
00320.jpg,27.3,57.33,56.6,52.3,32.5,12.56
00321.jpg,44,52.2,59.2,53.7,33.6,38
00322.jpg,28.91,46.27,45.18,47.73,33.45,14.5
00323.jpg,17.45,40.45,29.8,33,15.82,11.09
00324.jpg,31.7,34.4,39.2,40.7,37.5,31.2
00325.jpg,73.9,70.1,73.55,70.1,72.3,72.73
00326.jpg,28.64,45.91,48.73,52,37.36,19.09
00327.jpg,59.92,53.75,67.18,59.75,63.55,66.33
00328.jpg,78.9,74.3,75.1,77.33,75.3,76.2
00329.jpg,33.55,44.27,56.18,53.91,46.73,22.55
00330.jpg,52.7,60.1,65.2,60,46.7,42.3
00331.jpg,75.7,74.8,69.8,75.1,59.7,78.4
00332.jpg,39.5,66.1,67.7,63.11,41.4,21.56
00333.jpg,61.5,51.8,59,58.4,51.1,63.2
00334.jpg,74.9,70.3,72.5,74.5,71.6,72
00335.jpg,31.45,27.09,40.55,34.7,20.64,33.5
00336.jpg,32.5,39.4,57.6,51.1,34.6,23.5
00337.jpg,67.43,67.15,68.54,65.36,62.77,66.79
00338.jpg,53.5,51.9,51,55.6,39.1,54.5
00339.jpg,42,62.9,53.82,59.7,24.91,38.64
00340.jpg,24.4,21.7,31.9,35.3,18.6,24.6
00341.jpg,48,64.3,58.45,64.3,45.27,38.55
00342.jpg,79.91,81.25,79.17,79.64,71.75,73.92
00343.jpg,82.78,80.7,82.78,77.2,76,80.89
00344.jpg,46.7,56.7,61.3,58.9,43.4,28.4
00345.jpg,28.5,52.22,53.5,46.8,34.1,16.1
00346.jpg,78.45,73.18,80.27,77.9,76.7,78.18
00347.jpg,25.92,14.18,29.25,30.42,51.42,37.67
00348.jpg,55.25,41.78,68.5,62.56,58.44,63.56
00349.jpg,61,41.7,63.7,65.22,72.22,66
00350.jpg,45.7,32.33,47.7,50,43.3,43.4
00351.jpg,19.18,35.44,34,29.85,31.22,12.06
00352.jpg,57.71,64.18,63.88,60.71,56.29,52.59
00353.jpg,78.11,74.72,78.56,72.68,76.33,72.68
00354.jpg,74.39,69.44,75.67,67.47,77,76.12
00355.jpg,64.63,61.24,67.82,58.94,56.76,65.31
00356.jpg,51.12,52.39,53.75,45,52.06,42.24
00357.jpg,18.15,25.44,36.6,23.45,18.22,15.2
00358.jpg,38.53,45.47,53.76,36.33,38,27.88
00359.jpg,24.31,38.94,43.69,33.78,33.65,16.18
00360.jpg,67.41,64,65.17,61.53,67.24,65.18
00361.jpg,22.63,57.18,53.88,43.06,34.94,12.94
00362.jpg,57.89,54.94,59.72,54,61.33,59.94
00363.jpg,27.95,47.37,45.7,42.9,30.37,16
00364.jpg,36.65,38.76,44.17,39,31.25,27.47
00365.jpg,77.83,75.61,83.12,76.05,82.41,79.83
00366.jpg,78.33,78.22,82.06,77.58,82.47,80.11
00367.jpg,62.41,49.94,66.71,51.26,69.12,65.76
00368.jpg,22.5,46.41,50.65,39.83,37.24,13.25
00369.jpg,5.63,21.61,18.06,17.63,15.61,7.5
00370.jpg,75.75,71.76,77.38,72.24,74.53,79.5
00371.jpg,51.61,39.56,59.28,46.68,58.72,56.5
00372.jpg,71.94,63.71,71.83,68.72,72.67,74.53
00373.jpg,38.05,27.26,48.68,39.5,44.26,51.11
00374.jpg,62.82,48.28,66.17,54.05,62.17,67.65
00375.jpg,71.88,58.56,71.61,66.28,71.12,71
00376.jpg,35.28,32.71,40.33,34.47,42.33,22.28
00377.jpg,75.19,72.75,74.31,69.06,73.59,77.88
00378.jpg,70.65,70.47,67.89,67.5,73.18,69.94
00379.jpg,22.21,40.4,41.79,29,25.22,8.82
00380.jpg,58.38,51.06,63.88,59.41,54.75,58.06
00381.jpg,79.44,76.13,79.31,75.06,76.63,80.69
00382.jpg,71.76,68,72.82,67.28,69.24,71.06
00383.jpg,69.75,61.29,62.76,65.24,71.69,69.06
00384.jpg,82.38,77.13,79.88,77.13,80.25,80.38
00385.jpg,42.63,53.75,55.13,48.83,41.06,33.06
00386.jpg,75.35,70.89,75.72,74.28,71.24,74.5
00387.jpg,65.72,68.18,66,66.63,64.56,64.82
00388.jpg,25.33,22.71,35.76,33.21,23.94,25.17
00389.jpg,33.12,36.88,39.06,35.06,27.59,26.13
00390.jpg,71.88,65.78,71.35,64.83,63.76,69.76
00391.jpg,77.24,71.82,76.29,71.94,74.06,73.65
00392.jpg,37.27,56.31,54.94,44.12,39.06,20.93
00393.jpg,73.13,71.29,74.44,66.22,69.06,72
00394.jpg,18.71,36.19,36.65,29.44,18.25,9.13
00395.jpg,86.94,84.5,82.94,83.63,78.76,82.65
00396.jpg,27.28,46.65,41.17,34.21,27.06,11.63
00397.jpg,61.56,62.44,61.12,65.22,63.11,62.72
00398.jpg,74.56,68.31,72.75,71.69,76.19,79.19
00399.jpg,41.59,52.56,54.65,50.17,44.53,25.63
00400.jpg,80.33,76.67,79.58,77.65,78.53,79.84
00401.jpg,70.38,66.44,74.07,69.13,73.67,72.44
00402.jpg,74.65,78.69,76,74.22,71.41,71.41
00403.jpg,33.47,52.82,53.44,42.78,41.19,24
00404.jpg,30.94,47.29,48.56,38.06,37.65,18.41
00405.jpg,43.07,32.06,52.87,44.06,38.25,41.67
00406.jpg,41,41.5,56.07,46.76,37.38,36.87
00407.jpg,81.65,83.27,83.41,82.94,84.56,84.75
00408.jpg,47.31,55.75,56.81,47.24,49.13,41.2
00409.jpg,56.25,48.25,55.44,52.65,60.75,59.19
00410.jpg,32.47,25.73,38.59,26.71,30.13,20.88
00411.jpg,15.06,15.63,23.56,17.06,11.75,10.4
00412.jpg,68.13,68.13,67.29,63.56,70.5,60.65
00413.jpg,65.41,68.44,69.41,65.94,65.94,68.5
00414.jpg,59.25,47.75,66.38,52.59,68,64.13
00415.jpg,69.56,62.13,73.56,66.53,73.13,74.33
00416.jpg,65.68,60.58,67.37,64.79,61.44,69.22
00417.jpg,72.5,72,71.65,70.24,73.69,77.88
00418.jpg,45.81,36.59,45.44,43,50.94,40.71
00419.jpg,5.69,23.28,16.06,16.16,13.33,2.44
00420.jpg,79.71,79.19,80.63,79.88,81.19,80.76
00421.jpg,35.14,54.14,48.43,43.71,24.14,23.14
00422.jpg,78.86,83.86,82.43,85.14,80.57,83
00423.jpg,85,84.29,86.86,85.57,84,86.14
00424.jpg,18.33,63,50.5,45.17,35.83,9.5
00425.jpg,84.56,86.13,87.89,84.78,90.22,88
00426.jpg,41.83,64.67,65.33,62.67,56,33.67
00427.jpg,15.17,23.83,27.17,18.67,12.33,11.33
00428.jpg,45.33,65,44.67,62.83,46,39.67
00429.jpg,70.33,79.17,77.83,85.5,84.33,73.5
00430.jpg,86.33,86.33,84.83,83.67,87.33,89
00431.jpg,83.5,79.17,79,81.67,83.5,83.33
00432.jpg,22.57,51.29,47.43,49.14,24.29,12.86
00433.jpg,85,81.83,90.17,88.33,82.83,87.33
00434.jpg,32.5,70.83,58.5,59.33,39.83,19.5
00435.jpg,29.67,52.17,52.17,56,39.33,17.17
00436.jpg,21.5,28,38.33,25.25,29,12
00437.jpg,19.57,37.57,45.14,24.17,30,14.14
00438.jpg,74.33,67,82,72,78.67,80.33
00439.jpg,34.33,72.33,68.5,61.33,47.17,21.67
00440.jpg,29.5,61.38,57.25,54.88,41,14
00441.jpg,45.22,55.11,52.56,55.33,44.67,41
00442.jpg,66.38,76,72.88,72,61.88,64.5
00443.jpg,77,80.71,76.57,74,68,72.86
00444.jpg,76.13,79.75,78.71,74.38,66.5,75.13
00445.jpg,49.63,66.75,66.25,60.75,59,29.75
00446.jpg,35.25,71.43,63.63,60.75,50.75,17.13
00447.jpg,17.14,34.57,39.14,37.57,31,11.43
00448.jpg,21.14,18.67,31.86,23.29,38.71,26.86
00449.jpg,22.88,43.25,42.63,31.29,32.75,19.75
00450.jpg,66.75,75.13,70.25,68,55.25,70.5
00451.jpg,70,64,71.71,65.43,63.29,68.29
00452.jpg,67.13,78.29,81.5,77.25,71.75,65.63
00453.jpg,24.88,46,51.5,36.5,27.86,16.38
00454.jpg,74.75,73.5,77,75.75,74.88,77
00455.jpg,44.75,59,55.29,62.5,47.63,32.86
00456.jpg,51.43,66,64.71,60.71,47.57,54.71
00457.jpg,32.71,57,51.86,51.86,28.43,22.86
00458.jpg,68.38,68.75,78.75,74.88,77.29,71.75
00459.jpg,32.14,42.57,46.86,36.71,38,23
00460.jpg,77.86,80,79.71,79,77.71,82.43
00461.jpg,32,35.5,37.83,40.67,25.67,18.83
00462.jpg,75.5,80.33,76.5,78.83,81.17,81.33
00463.jpg,68,73.33,74.33,77,62.33,67.83
00464.jpg,68,63.29,73.71,79.83,70,74.29
00465.jpg,73.29,63.71,73.29,75,74,74
00466.jpg,61.67,52.5,55.67,56.67,56.5,63.17
00467.jpg,77.14,74.71,83.29,79.57,76.71,85.5
00468.jpg,74.5,77.17,75.5,81.17,68.33,74.83
